Stabr,County,amount_of_facilities
NC,Swain,1
NC,Union,45
NC,Vance,13
NC,Wake,54
NC,Washington,3
NC,Wayne,19
NC,Wilkes,18
NC,Wilson,20
NC,Yadkin,1
NC,Yancey,3
ND,Barnes,2
ND,Billings,4
ND,Burleigh,6
ND,Cass,44
ND,Divide,3
ND,Dunn,3
ND,Foster,2
ND,Grand Forks,8
ND,Lamoure,3
ND,Mchenry,2
ND,Mckenzie,47
ND,Mclean,27
ND,Mercer,119
ND,Morton,44
ND,Mountrail,13
ND,Oliver,17
ND,Pembina,3
ND,Ramsey,1
ND,Ransom,5
ND,Richland,23
ND,Sargent,5
ND,Stark,36
ND,Stutsman,16
ND,Traill,3
ND,Ward,5
ND,Williams,45
NE,Adams,25
NE,Boone,9
NE,Box Butte,2
NE,Buffalo,26
NE,Cass,6
NE,Cheyenne,1
NE,Clay,5
NE,Colfax,5
NE,Cuming,4
NE,Dakota,23
NE,Dawson,20
NE,Dixon,2
NE,Dodge,32
NE,Douglas,73
NE,Fillmore,13
NE,Furnas,7
NE,Gage,14
NE,Hall,42
NE,Hamilton,11
NE,Hitchcock,8
NE,Holt,11
NE,Jefferson,10
NE,Johnson,1
NE,Kearney,9
NE,Kimball,126
NE,Lancaster,73
NE,Lincoln,21
NE,Madison,34
NE,Merrick,9
NE,Morrill,8
NE,Nemaha,4
NE,Otoe,18
NE,Perkins,5
NE,Phelps,2
NE,Pierce,8
NE,Platte,60
NE,Red Willow,8
NE,Saline,7
NE,Sarpy,6
NE,Saunders,6
NE,Scotts Bluff,2
NE,Seward,8
NE,Stanton,16
NE,Valley,9
NE,Washington,42
NE,Wayne,5
NE,York,14
NH,Belknap,5
NH,Carroll,1
NH,Cheshire,4
NH,Coos,9
NH,Grafton,26
NH,Hillsborough,67
NH,Merrimack,40
NH,Rockingham,60
NH,Strafford,23
NH,Sullivan,10
NJ,Atlantic,4
NJ,Bergen,70
NJ,Burlington,36
NJ,Camden,34
NJ,Cumberland,11
NJ,Essex,76
NJ,Gloucester,94
NJ,Hudson,37
NJ,Hunterdon,6
NJ,Mercer,21
NJ,Middlesex,192
NJ,Monmouth,21
NJ,Morris,80
NJ,Ocean,20
NJ,Passaic,40
NJ,Salem,44
NJ,Somerset,60
NJ,Sussex,3
NJ,Union,129
NJ,Warren,26
NM,Bernalillo,68
NM,Chaves,4
NM,Curry,12
NM,Dona Ana,12
NM,Eddy,108
NM,Grant,17
NM,Hidalgo,1
NM,Lea,92
NM,Los Alamos,1
NM,Mckinley,3
NM,Otero,8
NM,Roosevelt,9
NM,San Juan,62
NM,Sandoval,14
NM,Valencia,9
NV,Carson City,4
NV,Carson City (City),10
NV,Churchill,19
NV,Clark,121
NV,Douglas,2
NV,Elko,76
NV,Esmeralda,1
NV,Eureka,44
NV,Humboldt,62
NV,Lander,51
NV,Lyon,50
NV,Mineral,10
NV,Nye,83
NV,Pershing,18
NV,Storey,61
NV,Washoe,37
NV,White Pine,27
NY,Albany,97
NY,Allegany,9
NY,Bronx,6
NY,Broome,15
NY,Cattaraugus,13
NY,Cayuga,15
NY,Chautauqua,34
NY,Chemung,18
NY,Chenango,14
NY,Clinton,4
NY,Columbia,1
NY,Cortland,12
NY,Delaware,10
NY,Dutchess,20
NY,Erie,180
NY,Essex,21
NY,Franklin,3
NY,Fulton,14
NY,Genesee,24
NY,Greene,5
NY,Herkimer,14
NY,Jefferson,19
NY,Kings,22
NY,Lewis,5
NY,Livingston,16
NY,Madison,16
NY,Monroe,91
NY,Montgomery,13
NY,Nassau,60
NY,New York,5
NY,Niagara,102
NY,Oneida,65
NY,Onondaga,59
NY,Ontario,13
NY,Orange,68
NY,Orleans,9
NY,Oswego,12
NY,Otsego,3
NY,Putnam,13
NY,Queens,19
NY,Rensselaer,24
NY,Richmond,5
NY,Rockland,5
NY,Saratoga,49
NY,Schenectady,26
NY,Schuyler,2
NY,Seneca,18
NY,St. Lawrence,30
NY,Steuben,9
NY,Suffolk,95
NY,Tioga,14
NY,Tompkins,9
NY,Ulster,3
NY,Warren,17
NY,Washington,8
NY,Wayne,15
NY,Westchester,22
NY,Wyoming,7
NY,Yates,5
OH,Allen,130
OH,Ashland,24
OH,Ashtabula,85
OH,Auglaize,39
OH,Belmont,6
OH,Brown,7
OH,Butler,165
OH,Carroll,17
OH,Champaign,11
OH,Clark,35
OH,Clermont,36
OH,Clinton,6
OH,Columbiana,242
OH,Coshocton,22
OH,Crawford,9
OH,Cuyahoga,438
OH,Darke,39
OH,Defiance,22
OH,Delaware,42
OH,Erie,74
OH,Fairfield,15
OH,Fayette,22
OH,Franklin,199
OH,Fulton,35
OH,Gallia,35
OH,Geauga,42
OH,Greene,15
OH,Guernsey,27
OH,Hamilton,272
OH,Hancock,35
OH,Hardin,11
OH,Harrison,15
OH,Henry,14
OH,Highland,5
OH,Hocking,3
OH,Holmes,11
OH,Huron,26
OH,Jackson,9
OH,Jefferson,39
OH,Knox,6
OH,Lake,151
OH,Lawrence,7
OH,Licking,59
OH,Logan,37
OH,Lorain,291
OH,Lucas,209
OH,Madison,13
OH,Mahoning,74
OH,Marion,46
OH,Medina,70
OH,Meigs,1
OH,Mercer,15
OH,Miami,54
OH,Monroe,2
OH,Montgomery,95
OH,Morgan,2
OH,Morrow,5
OH,Muskingum,27
OH,Noble,3
OH,Ottawa,19
OH,Paulding,46
OH,Perry,5
OH,Pickaway,55
OH,Pike,2
OH,Portage,51
OH,Preble,30
OH,Putnam,36
OH,Richland,31
OH,Ross,19
OH,Sandusky,52
OH,Scioto,19
OH,Seneca,16
OH,Shelby,45
OH,Stark,159
OH,Summit,151
OH,Trumbull,93
OH,Tuscarawas,75
OH,Union,41
OH,Van Wert,18
OH,Vinton,3
OH,Warren,40
OH,Washington,74
OH,Wayne,73
OH,Williams,32
OH,Wood,85
OH,Wyandot,20
OK,Adair,5
OK,Beaver,8
OK,Beckham,1
OK,Blaine,2
OK,Bryan,21
OK,Canadian,49
OK,Carter,47
OK,Cherokee,2
OK,Choctaw,8
OK,Cleveland,13
OK,Coal,17
OK,Comanche,17
OK,Craig,1
OK,Creek,36
OK,Custer,23
OK,Delaware,3
OK,Dewey,4
OK,Garfield,25
OK,Garvin,33
OK,Grady,43
OK,Hughes,16
OK,Jackson,1
OK,Kay,80
OK,Kingfisher,24
OK,Le Flore,15
OK,Lincoln,5
OK,Logan,4
OK,Major,33
OK,Marshall,24
OK,Mayes,53
OK,Mccurtain,39
OK,Muskogee,38
OK,Noble,11
OK,Nowata,5
OK,Okfuskee,4
OK,Oklahoma,139
OK,Okmulgee,4
OK,Osage,6
OK,Ottawa,12
OK,Payne,4
OK,Pittsburg,11
OK,Pontotoc,14
OK,Pottawatomie,7
OK,Pushmataha,4
OK,Roger Mills,8
OK,Rogers,112
OK,Seminole,7
OK,Sequoyah,4
OK,Stephens,26
OK,Texas,8
OK,Tillman,1
OK,Tulsa,316
OK,Wagoner,6
OK,Washington,4
OK,Washita,4
OK,Woods,19
OK,Woodward,26
OR,Baker,4
OR,Benton,7
OR,Clackamas,59
OR,Clatsop,17
OR,Columbia,13
OR,Coos,10
OR,Crook,1
OR,Curry,2
OR,Deschutes,19
OR,Douglas,30
OR,Gilliam,42
OR,Hood River,3
OR,Jackson,33
OR,Jefferson,4
OR,Josephine,6
OR,Klamath,11
OR,Lake,1
OR,Lane,75
OR,Lincoln,18
OR,Linn,56
OR,Malheur,1
OR,Marion,43
OR,Morrow,14
OR,Multnomah,193
OR,Polk,2
OR,Tillamook,7
OR,Umatilla,12
OR,Union,6
OR,Wasco,6
OR,Washington,94
OR,Yamhill,23
PA,Adams,16
PA,Allegheny,272
PA,Armstrong,24
PA,Beaver,146
PA,Bedford,20
PA,Berks,132
PA,Blair,28
PA,Bradford,27
PA,Bucks,147
PA,Butler,137
PA,Cambria,39
PA,Cameron,3
PA,Carbon,30
PA,Centre,10
PA,Chester,82
PA,Clarion,6
PA,Clearfield,25
PA,Clinton,25
PA,Columbia,15
PA,Crawford,51
PA,Cumberland,39
PA,Dauphin,39
PA,Delaware,78
PA,Elk,66
PA,Erie,91
PA,Fayette,6
PA,Franklin,46
PA,Fulton,7
PA,Greene,4
PA,Huntingdon,6
PA,Indiana,42
PA,Jefferson,28
PA,Juniata,5
PA,Lackawanna,28
PA,Lancaster,156
PA,Lawrence,51
PA,Lebanon,58
PA,Lehigh,58
PA,Luzerne,90
PA,Lycoming,49
PA,Mckean,38
PA,Mercer,116
PA,Mifflin,12
PA,Monroe,17
PA,Montgomery,125
PA,Montour,12
PA,Northampton,121
PA,Northumberland,36
PA,Philadelphia,80
PA,Pike,1
PA,Potter,5
PA,Schuylkill,86
PA,Snyder,11
PA,Somerset,14
PA,Susquehanna,1
PA,Tioga,19
PA,Union,7
PA,Venango,49
PA,Warren,41
PA,Washington,80
PA,Wayne,1
PA,Westmoreland,112
PA,Wyoming,6
PA,York,155
PR,Aguadilla Municipio,2
PR,Aibonito Municipio,3
PR,Anasco Municipio,2
PR,Arecibo Municipio,14
PR,Arroyo Municipio,2
PR,Barceloneta Municipio,13
PR,Bayamon Municipio,27
PR,Caguas Municipio,8
PR,Canovanas Municipio,2
PR,Carolina Municipio,6
PR,Catano Municipio,6
PR,Cayey Municipio,1
PR,Ceiba Municipio,2
PR,Cidra Municipio,3
PR,Coamo Municipio,1
PR,Dorado Municipio,1
PR,Fajardo Municipio,3
PR,Guayama Municipio,25
PR,Guayanilla Municipio,12
PR,Guaynabo Municipio,35
PR,Hatillo Municipio,3
PR,Humacao Municipio,10
PR,Jayuya Municipio,1
PR,Juana Diaz Municipio,1
PR,Juncos Municipio,2
PR,Las Piedras Municipio,8
PR,Manati Municipio,12
PR,Maricao Municipio,1
PR,Mayaguez Municipio,4
PR,Naguabo Municipio,2
PR,Penuelas Municipio,14
PR,Ponce Municipio,5
PR,Sabana Grande Municipio,2
PR,Salinas Municipio,13
PR,San German Municipio,2
PR,San Juan Municipio,16
PR,San Lorenzo Municipio,9
PR,Santa Isabel Municipio,3
PR,Toa Alta Municipio,1
PR,Toa Baja Municipio,8
PR,Vega Baja Municipio,8
PR,Yabucoa Municipio,13
RI,Bristol,4
RI,Kent,29
RI,Newport,2
RI,Providence,166
RI,Washington,32
SC,Abbeville,12
SC,Aiken,70
SC,Allendale,18
SC,Anderson,35
SC,Bamberg,1
SC,Barnwell,9
SC,Beaufort,7
SC,Berkeley,119
SC,Calhoun,20
SC,Charleston,82
SC,Cherokee,38
SC,Chester,43
SC,Chesterfield,32
SC,Clarendon,8
SC,Colleton,6
SC,Darlington,21
SC,Dillon,10
SC,Dorchester,90
SC,Edgefield,1
SC,Fairfield,13
SC,Florence,63
SC,Georgetown,64
SC,Greenville,175
SC,Greenwood,20
SC,Hampton,5
SC,Horry,27
SC,Jasper,4
SC,Kershaw,25
SC,Lancaster,39
SC,Laurens,52
SC,Lee,4
SC,Lexington,43
SC,Marion,1
SC,Marlboro,29
SC,Newberry,22
SC,Oconee,31
SC,Orangeburg,118
SC,Pickens,36
SC,Richland,115
SC,Saluda,7
SC,Spartanburg,233
SC,Sumter,36
SC,Union,9
SC,Williamsburg,6
SC,York,114
SD,Beadle,11
SD,Bon Homme,2
SD,Brookings,22
SD,Brown,15
SD,Campbell,1
SD,Charles Mix,1
SD,Codington,27
SD,Davison,13
SD,Day,1
SD,Deuel,1
SD,Douglas,4
SD,Edmunds,4
SD,Grant,21
SD,Hamlin,3
SD,Hutchinson,3
SD,Lake,10
SD,Lawrence,13
SD,Lincoln,19
SD,Marshall,3
SD,Minnehaha,63
SD,Pennington,25
SD,Potter,2
SD,Roberts,10
SD,Spink,7
SD,Sully,11
SD,Turner,14
SD,Union,11
SD,Yankton,22
TN,Anderson,25
TN,Bedford,7
TN,Benton,1
TN,Bledsoe,5
TN,Blount,33
TN,Bradley,47
TN,Carroll,8
TN,Carter,21
TN,Cheatham,19
TN,Chester,9
TN,Claiborne,9
TN,Clay,1
TN,Cocke,11
TN,Coffee,19
TN,Crockett,2
TN,Cumberland,9
TN,Davidson,124
TN,Decatur,3
TN,Dekalb,9
TN,Dickson,22
TN,Dyer,16
TN,Fayette,15
TN,Franklin,20
TN,Gibson,19
TN,Giles,15
TN,Grainger,2
TN,Greene,52
TN,Hamblen,35
TN,Hamilton,165
TN,Hardeman,1
TN,Hardin,20
TN,Hawkins,27
TN,Haywood,15
TN,Henderson,12
TN,Henry,8
TN,Humphreys,58
TN,Jackson,2
TN,Jefferson,14
TN,Johnson,2
TN,Knox,71
TN,Lauderdale,2
TN,Lawrence,4
TN,Lewis,1
TN,Lincoln,13
TN,Loudon,35
TN,Macon,6
TN,Madison,62
TN,Marion,26
TN,Marshall,17
TN,Maury,51
TN,Mcminn,27
TN,Mcnairy,16
TN,Meigs,9
TN,Monroe,31
TN,Montgomery,36
TN,Morgan,3
TN,Obion,27
TN,Putnam,9
TN,Rhea,21
TN,Roane,27
TN,Robertson,7
TN,Rutherford,78
TN,Scott,4
TN,Sevier,9
TN,Shelby,337
TN,Smith,25
TN,Stewart,24
TN,Sullivan,97
TN,Sumner,43
TN,Tipton,4
TN,Trousdale,2
TN,Unicoi,5
TN,Union,3
TN,Van Buren,4
TN,Warren,8
TN,Washington,15
TN,Wayne,1
TN,Weakley,16
TN,White,8
TN,Williamson,14
TN,Wilson,26
TX,Anderson,13
TX,Andrews,10
TX,Angelina,44
TX,Atascosa,28
TX,Austin,13
TX,Bastrop,16
TX,Bee,16
TX,Bell,61
TX,Bexar,194
TX,Bosque,6
TX,Bowie,15
TX,Brazoria,609
TX,Brazos,26
TX,Brown,24
TX,Burleson,3
TX,Burnet,14
TX,Caldwell,15
TX,Calhoun,108
TX,Cameron,42
TX,Camp,18
TX,Carson,1
TX,Cass,22
TX,Castro,1
TX,Chambers,183
TX,Cherokee,17
TX,Childress,1
TX,Clay,5
TX,Coke,8
TX,Collin,50
TX,Colorado,14
TX,Comal,28
TX,Comanche,2
TX,Cooke,29
TX,Crane,10
TX,Crockett,15
TX,Culberson,36
TX,Dallam,9
TX,Dallas,343
TX,Deaf Smith,21
TX,Denton,56
TX,Dewitt,19
TX,Dimmit,1
TX,Eastland,5
TX,Ector,83
TX,El Paso,70
TX,Ellis,161
TX,Erath,7
TX,Falls,2
TX,Fannin,11
TX,Fayette,23
TX,Fisher,6
TX,Fort Bend,112
TX,Freestone,6
TX,Frio,14
TX,Gaines,10
TX,Galveston,175
TX,Gillespie,1
TX,Glasscock,48
TX,Goliad,17
TX,Gonzales,15
TX,Gray,14
TX,Grayson,24
TX,Gregg,66
TX,Grimes,19
TX,Guadalupe,57
TX,Hale,12
TX,Hardin,14
TX,Harris,2183
TX,Harrison,109
TX,Hays,17
TX,Henderson,16
TX,Hidalgo,15
TX,Hill,12
TX,Hockley,29
TX,Hood,12
TX,Hopkins,7
TX,Houston,6
TX,Howard,47
TX,Hunt,27
TX,Hutchinson,67
TX,Irion,7
TX,Jackson,16
TX,Jasper,33
TX,Jefferson,726
TX,Jim Wells,2
TX,Johnson,85
TX,Karnes,27
TX,Kaufman,32
TX,Kent,6
TX,Kerr,1
TX,Kleberg,7
TX,La Salle,17
TX,Lamar,22
TX,Lamb,13
TX,Lampasas,1
TX,Lavaca,20
TX,Lee,5
TX,Leon,31
TX,Liberty,24
TX,Limestone,17
TX,Live Oak,41
TX,Loving,32
TX,Lubbock,48
TX,Marion,6
TX,Martin,47
TX,Matagorda,48
TX,Maverick,2
TX,Mclennan,89
TX,Medina,8
TX,Midland,147
TX,Mitchell,1
TX,Montague,11
TX,Montgomery,114
TX,Moore,52
TX,Morris,17
TX,Nacogdoches,18
TX,Navarro,41
TX,Nolan,13
TX,Nueces,407
TX,Ochiltree,7
TX,Orange,160
TX,Palo Pinto,23
TX,Panola,22
TX,Parker,59
TX,Parmer,10
TX,Pecos,19
TX,Polk,16
TX,Potter,33
TX,Presidio,1
TX,Randall,7
TX,Reagan,16
TX,Reeves,88
TX,Robertson,37
TX,Rockwall,10
TX,Runnels,14
TX,Rusk,36
TX,Sabine,2
TX,San Jacinto,5
TX,San Patricio,122
TX,Scurry,2
TX,Shackelford,2
TX,Shelby,9
TX,Smith,56
TX,Sterling,16
TX,Sutton,22
TX,Swisher,1
TX,Tarrant,299
TX,Taylor,19
TX,Terry,3
TX,Titus,19
TX,Tom Green,14
TX,Travis,90
TX,Tyler,1
TX,Upshur,13
TX,Upton,46
TX,Val Verde,6
TX,Van Zandt,6
TX,Victoria,42
TX,Walker,8
TX,Waller,24
TX,Ward,27
TX,Washington,21
TX,Webb,22
TX,Wharton,12
TX,Wheeler,7
TX,Wichita,18
TX,Wilbarger,2
TX,Williamson,17
TX,Wilson,13
TX,Winkler,17
TX,Wise,31
TX,Wood,11
TX,Yoakum,34
TX,Young,6
UT,Beaver,4
UT,Box Elder,46
UT,Cache,30
UT,Carbon,8
UT,Davis,115
UT,Duchesne,22
UT,Emery,22
UT,Iron,14
UT,Juab,11
UT,Millard,30
UT,Morgan,4
UT,Salt Lake,276
UT,San Juan,11
UT,Sanpete,2
UT,Sevier,1
UT,Summit,4
UT,Tooele,201
UT,Uintah,42
UT,Utah,83
UT,Wasatch,1
UT,Washington,11
UT,Weber,50
VA,Accomack,10
VA,Albemarle,1
VA,Alexandria City,2
VA,Amherst,11
VA,Arlington,13
VA,Augusta,27
VA,Bedford,17
VA,Bland,4
VA,Botetourt,35
VA,Bristol City,8
VA,Brunswick,2
VA,Buchanan,6
VA,Buckingham,2
VA,Buena Vista City,1
VA,Campbell,18
VA,Caroline,11
VA,Carroll,3
VA,Charlotte,1
VA,Chesapeake City,16
VA,Chesterfield,56
VA,Clarke,4
VA,Colonial Heights City,4
VA,Covington City,27
VA,Culpeper,18
VA,Cumberland,1
VA,Danville City,8
VA,Dinwiddie,7
VA,Fairfax,12
VA,Fairfax City,11
VA,Fauquier,14
VA,Franklin,11
VA,Frederick,20
VA,Galax City,3
VA,Giles,12
VA,Gloucester,1
VA,Greensville,10
VA,Halifax,28
VA,Hampton City,17
VA,Hanover,18
VA,Harrisonburg City,13
VA,Henrico,19
VA,Henry,28
VA,Hopewell City,44
VA,Isle Of Wight,21
VA,James City,12
VA,King George,1
VA,King William,19
VA,Lee,1
VA,Loudoun,37
VA,Louisa,5
VA,Lunenburg,2
VA,Lynchburg City,30
VA,Madison,3
VA,Mecklenburg,2
VA,Montgomery,29
VA,Newport News City,21
VA,Norfolk City,16
VA,Northumberland,2
VA,Nottoway,4
VA,Page,1
VA,Patrick,2
VA,Petersburg City,14
VA,Pittsylvania,35
VA,Portsmouth City,9
VA,Prince George,8
VA,Prince William,36
VA,Pulaski,16
VA,Richmond,19
VA,Richmond City,16
VA,Roanoke,31
VA,Roanoke City,42
VA,Rockbridge,8
VA,Rockingham,21
VA,Russell,3
VA,Salem City,7
VA,Scott,5
VA,Shenandoah,9
VA,Smyth,16
VA,Southampton,8
VA,Spotsylvania,8
VA,Stafford,9
VA,Suffolk City,11
VA,Sussex,3
VA,Tazewell,1
VA,Virginia Beach City,8
VA,Warren,24
VA,Washington,25
VA,Westmoreland,2
VA,Winchester City,8
VA,Wise,15
VA,Wythe,3
VA,York,5
VI,St. Croix Island,18
VI,St. Thomas Island,16
VT,Addison,6
VT,Bennington,3
VT,Caledonia,11
VT,Chittenden,19
VT,Essex,1
VT,Franklin,15
VT,Orleans,3
VT,Rutland,13
VT,Washington,6
VT,Windham,13
WA,Adams,7
WA,Asotin,1
WA,Benton,28
WA,Chelan,8
WA,Clallam,8
WA,Clark,44
WA,Cowlitz,81
WA,Douglas,1
WA,Ferry,1
WA,Franklin,41
WA,Grant,22
WA,Grays Harbor,9
WA,Island,3
WA,Jefferson,14
WA,King,174
WA,Kitsap,11
WA,Klickitat,2
WA,Lewis,26
WA,Mason,1
WA,Pend Oreille,5
WA,Pierce,100
WA,Skagit,89
WA,Snohomish,71
WA,Spokane,101
WA,Stevens,6
WA,Thurston,11
WA,Walla Walla,21
WA,Whatcom,79
WA,Whitman,10
WA,Yakima,17
WI,Adams,3
WI,Ashland,1
WI,Barron,22
WI,Bayfield,2
WI,Brown,119
WI,Buffalo,6
WI,Burnett,7
WI,Calumet,22
WI,Chippewa,22
WI,Clark,14
WI,Columbia,55
WI,Crawford,7
WI,Dane,126
WI,Dodge,67
WI,Door,3
WI,Douglas,26
WI,Dunn,30
WI,Eau Claire,45
WI,Fond Du Lac,53
WI,Grant,19
WI,Green,34
WI,Green Lake,3
WI,Iowa,3
WI,Jackson,5
WI,Jefferson,71
WI,Juneau,23
WI,Juneau Borough,1
WI,Kenosha,71
WI,Kewaunee,3
WI,La Crosse,48
WI,Lafayette,3
WI,Langlade,10
WI,Lincoln,21
WI,Manitowoc,61
WI,Marathon,175
WI,Marinette,46
WI,Marquette,4
WI,Milwaukee,306
WI,Monroe,14
WI,Oconto,9
WI,Oneida,10
WI,Outagamie,87
WI,Ozaukee,41
WI,Pierce,11
WI,Polk,6
WI,Portage,36
WI,Price,7
WI,Racine,38
WI,Richland,9
WI,Rock,68
WI,Rusk,2
WI,Sauk,43
WI,Sawyer,10
WI,Shawano,15
WI,Sheboygan,128
WI,St Croix,7
WI,St. Croix Island,1
WI,Trempealeau,19
WI,Vernon,10
WI,Vilas,3
WI,Walworth,55
WI,Washington,76
WI,Waukesha,184
WI,Waupaca,40
WI,Waushara,3
WI,Winnebago,78
WI,Wood,54
WV,Barbour,1
WV,Berkeley,37
WV,Braxton,7
WV,Brooke,33
WV,Cabell,42
WV,Doddridge,7
WV,Fayette,8
WV,Gilmer,1
WV,Grant,21
WV,Hancock,31
WV,Hardy,12
WV,Harrison,30
WV,Jackson,8
WV,Jefferson,14
WV,Kanawha,61
WV,Lewis,14
WV,Marion,11
WV,Marshall,70
WV,Mason,41
WV,Mercer,4
WV,Mineral,8
WV,Monongalia,58
WV,Monroe,2
WV,Nicholas,5
WV,Ohio,10
WV,Pendleton,4
WV,Pleasants,37
WV,Preston,4
WV,Putnam,36
WV,Raleigh,4
WV,Randolph,2
WV,Roane,2
WV,Taylor,2
WV,Tucker,2
WV,Tyler,31
WV,Upshur,2
WV,Wayne,21
WV,Wetzel,13
WV,Wood,36
WY,Albany,13
WY,Big Horn,3
WY,Campbell,53
WY,Carbon,42
WY,Converse,38
WY,Fremont,1
WY,Laramie,38
WY,Lincoln,20
WY,Natrona,55
WY,Park,3
WY,Platte,23
WY,Sheridan,1
WY,Sweetwater,47
WY,Uinta,27
WY,Washakie,5
WY,Weston,23
