County,FIPS,Yes/No(1)
"Coles County, Illinois",17029,no
"Colfax County, Nebraska",31037,no
"Colleton County, South Carolina",45029,no
"Collier County, Florida",12021,no
"Collin County, Texas",48085,no
"Collingsworth County, Texas",48087,no
"Colorado County, Texas",48089,no
"Colquitt County, Georgia",13071,no
"Columbia County, Georgia",13073,no
"Columbia County, Washington",53013,no
"Columbiana County, Ohio",39029,no
"Columbus County, North Carolina",37047,no
"Conecuh County, Alabama",1035,no
"Converse County, Wyoming",56009,no
"Conway County, Arkansas",5029,no
"Cook County, Georgia",13075,no
"Cook County, Minnesota",27031,no
"Cooper County, Missouri",29053,no
"Coos County, New Hampshire",33007,no
"Coosa County, Alabama",1037,no
"Copiah County, Mississippi",28029,no
"Corson County, South Dakota",46031,no
"Coshocton County, Ohio",39031,no
"Cottle County, Texas",48101,no
"Cottonwood County, Minnesota",27033,no
"Covington County, Alabama",1039,no
"Covington County, Mississippi",28031,no
"Coweta County, Georgia",13077,no
"Cowley County, Kansas",20035,no
"Cowlitz County, Washington",53015,no
"Craig County, Virginia",51045,no
"Craighead County, Arkansas",5031,no
"Crane County, Texas",48103,no
"Craven County, North Carolina",37049,no
"Crawford County, Georgia",13079,no
"Crawford County, Illinois",17033,no
"Crawford County, Indiana",18025,no
"Crawford County, Iowa",19047,no
"Crawford County, Kansas",20037,no
"Crawford County, Michigan",26039,no
"Crawford County, Missouri",29055,no
"Creek County, Oklahoma",40037,no
"Crenshaw County, Alabama",1041,no
"Crisp County, Georgia",13081,no
"Crittenden County, Kentucky",21055,no
"Crockett County, Tennessee",47033,no
"Crockett County, Texas",48105,no
"Crook County, Oregon",41013,no
"Cross County, Arkansas",5037,no
"Crow Wing County, Minnesota",27035,no
"Crowley County, Colorado",8025,no
"Culberson County, Texas",48109,no
"Cullman County, Alabama",1043,no
"Culpeper County, Virginia",51047,no
"Cumberland County, Illinois",17035,no
"Cumberland County, North Carolina",37051,no
"Cumberland County, Tennessee",47035,no
"Cumberland County, Virginia",51049,no
"Currituck County, North Carolina",37053,no
"Curry County, New Mexico",35009,no
"Custer County, Colorado",8027,no
"Custer County, Idaho",16037,no
"Custer County, South Dakota",46033,no
"Cuyahoga County, Ohio",39035,no
"Dade County, Georgia",13083,no
"Dade County, Missouri",29057,no
"Daggett County, Utah",49009,no
"Dakota County, Minnesota",27037,no
"Dakota County, Nebraska",31043,no
"Dale County, Alabama",1045,no
"Dallas County, Alabama",1047,no
"Dallas County, Arkansas",5039,no
"Dallas County, Iowa",19049,no
"Dallas County, Missouri",29059,no
"Dallas County, Texas",48113,no
"Daniels County, Montana",30019,no
"Dare County, North Carolina",37055,no
"Darke County, Ohio",39037,no
"Darlington County, South Carolina",45031,no
"Davidson County, North Carolina",37057,no
"Davidson County, Tennessee",47037,no
"Daviess County, Indiana",18027,no
"Daviess County, Kentucky",21059,no
"Daviess County, Missouri",29061,no
"Davis County, Iowa",19051,no
"Davison County, South Dakota",46035,no
"Dawson County, Georgia",13085,no
"Dawson County, Nebraska",31047,no
"Day County, South Dakota",46037,no
"De Witt County, Illinois",17039,no
"DeBaca County, New Mexico",35011,no
"DeKalb County, Alabama",1049,no
"DeKalb County, Georgia",13089,no
"DeKalb County, Illinois",17037,no
"DeKalb County, Indiana",18033,no
"DeKalb County, Missouri",29063,no
"DeSoto County, Mississippi",28033,no
"DeWitt County, Texas",48123,no
"Deaf Smith County, Texas",48117,no
"Dearborn County, Indiana",18029,no
"Decatur County, Kansas",20039,no
"Decatur County, Tennessee",47039,no
"Deer Lodge County, Montana",30023,no
"Defiance County, Ohio",39039,no
"Del Norte County, California",6015,no
"Delaware County, Iowa",19055,no
"Delaware County, New York",36025,no
"Delaware County, Pennsylvania",42045,no
"Delta County, Michigan",26041,no
"Delta County, Texas",48119,no
"Denali, Alaska",2068,no
"Dent County, Missouri",29065,no
"Denton County, Texas",48121,no
"Denver County, Colorado",8031,no
"Des Moines County, Iowa",19057,no
"Deuel County, Nebraska",31049,no
"Deuel County, South Dakota",46039,no
"Dewey County, South Dakota",46041,no
"Dickinson County, Iowa",19059,no
"Dickinson County, Kansas",20041,no
"Dickinson County, Michigan",26043,no
"Dickson County, Tennessee",47043,no
"Dillon County, South Carolina",45033,no
"Dimmit County, Texas",48127,no
"Dinwiddie County, Virginia",51053,no
"Divide County, North Dakota",38023,no
"Dixie County, Florida",12029,no
"Doddridge County, West Virginia",54017,no
"Dodge County, Georgia",13091,no
"Dodge County, Minnesota",27039,no
"Dodge County, Nebraska",31053,no
"Dolores County, Colorado",8033,no
"Donley County, Texas",48129,no
"Dooly County, Georgia",13093,no
"Door County, Wisconsin",55029,no
"Dorchester County, Maryland",24019,no
"Dorchester County, South Carolina",45035,no
"Dougherty County, Georgia",13095,no
"Douglas County, Georgia",13097,no
"Douglas County, Illinois",17041,no
"Douglas County, Kansas",20045,no
"Douglas County, Missouri",29067,no
"Douglas County, Nebraska",31055,no
"Douglas County, South Dakota",46043,no
"Douglas County, Washington",53017,no
"Drew County, Arkansas",5043,no
"DuPage County, Illinois",17043,no
"Dubois County, Indiana",18037,no
"Dubuque County, Iowa",19061,no
"Dukes County, Massachusetts",25007,no
"Dundy County, Nebraska",31057,no
"Dunklin County, Missouri",29069,no
"Dunn County, North Dakota",38025,no
"Dunn County, Wisconsin",55033,no
"Duplin County, North Carolina",37061,no
"Durham County, North Carolina",37063,no
"Duval County, Florida",12031,no
"Dyer County, Tennessee",47045,no
"Eagle County, Colorado",8037,no
"Early County, Georgia",13099,no
"East Feliciana Parish, Louisiana",22037,no
"Eaton County, Michigan",26045,no
"Eddy County, North Dakota",38027,no
"Edgefield County, South Carolina",45037,no
"Edwards County, Illinois",17047,no
"Effingham County, Georgia",13103,no
"Elbert County, Georgia",13105,no
"Elk County, Kansas",20049,no
"Elkhart County, Indiana",18039,no
"Elko County, Nevada",32007,no
"Elliott County, Kentucky",21063,no
"Ellis County, Oklahoma",40045,no
"Ellsworth County, Kansas",20053,no
"Elmore County, Alabama",1051,no
"Emery County, Utah",49015,no
"Emmet County, Iowa",19063,no
"Emmet County, Michigan",26047,no
"Emmons County, North Dakota",38029,no
"Erie County, Ohio",39043,no
"Escambia County, Alabama",1053,no
"Escambia County, Florida",12033,no
"Esmeralda County, Nevada",32009,no
"Essex County, Vermont",50009,no
"Essex County, Virginia",51057,no
"Estill County, Kentucky",21065,no
"Etowah County, Alabama",1055,no
"Eureka County, Nevada",32011,no
"Evans County, Georgia",13109,no
"Fairfax County, Virginia",51059,no
"Fairfield County, Ohio",39045,no
"Fairfield County, South Carolina",45039,no
"Fall River County, South Dakota",46047,no
"Fallon County, Montana",30025,no
"Fannin County, Georgia",13111,no
"Fannin County, Texas",48147,no
"Faribault County, Minnesota",27043,no
"Faulk County, South Dakota",46049,no
"Fauquier County, Virginia",51061,no
"Fayette County, Alabama",1057,no
"Fayette County, Georgia",13113,no
"Fayette County, Indiana",18041,no
"Fayette County, Iowa",19065,no
"Fayette County, Kentucky",21067,no
"Fayette County, Ohio",39047,no
"Fayette County, Tennessee",47047,no
"Fentress County, Tennessee",47049,no
"Fillmore County, Minnesota",27045,no
"Fillmore County, Nebraska",31059,no
"Finney County, Kansas",20055,no
"Fleming County, Kentucky",21069,no
"Florence County, South Carolina",45041,no
"Florence County, Wisconsin",55037,no
"Floyd County, Georgia",13115,no
"Floyd County, Indiana",18043,no
"Floyd County, Iowa",19067,no
"Floyd County, Texas",48153,no
"Floyd County, Virginia",51063,no
"Fluvanna County, Virginia",51065,no
"Fond du Lac County, Wisconsin",55039,no
"Ford County, Illinois",17053,no
"Forest County, Pennsylvania",42053,no
"Forest County, Wisconsin",55041,no
"Forrest County, Mississippi",28035,no
"Forsyth County, Georgia",13117,no
"Forsyth County, North Carolina",37067,no
"Fort Bend County, Texas",48157,no
"Foster County, North Dakota",38031,no
"Fountain County, Indiana",18045,no
"Franklin County, Alabama",1059,no
"Franklin County, Arkansas",5047,no
"Franklin County, Florida",12037,no
"Franklin County, Illinois",17055,no
"Franklin County, Indiana",18047,no
"Franklin County, Iowa",19069,no
"Franklin County, Kentucky",21073,no
"Franklin County, Massachusetts",25011,no
"Franklin County, Mississippi",28037,no
"Franklin County, Nebraska",31061,no
"Franklin County, Tennessee",47051,no
"Franklin County, Texas",48159,no
"Franklin County, Vermont",50011,no
"Franklin County, Washington",53021,no
"Frederick County, Maryland",24021,no
"Frederick County, Virginia",51069,no
"Freeborn County, Minnesota",27047,no
"Freestone County, Texas",48161,no
"Fremont County, Colorado",8043,no
"Fremont County, Iowa",19071,no
"Fresno County, California",6019,no
"Frio County, Texas",48163,no
"Frontier County, Nebraska",31063,no
"Fulton County, Georgia",13121,no
"Fulton County, Illinois",17057,no
"Fulton County, Indiana",18049,no
"Fulton County, New York",36035,no
"Fulton County, Pennsylvania",42057,no
"Furnas County, Nebraska",31065,no
"Gadsden County, Florida",12039,no
"Gage County, Nebraska",31067,no
"Gallatin County, Illinois",17059,no
"Gallatin County, Kentucky",21077,no
"Gallatin County, Montana",30031,no
"Gallia County, Ohio",39053,no
"Garden County, Nebraska",31069,no
"Garfield County, Montana",30033,no
"Garfield County, Nebraska",31071,no
"Garfield County, Utah",49017,no
"Garland County, Arkansas",5051,no
"Garrard County, Kentucky",21079,no
"Garrett County, Maryland",24023,no
"Gates County, North Carolina",37073,no
"Gem County, Idaho",16045,no
"Geneva County, Alabama",1061,no
"Gentry County, Missouri",29075,no
"George County, Mississippi",28039,no
"Gibson County, Indiana",18051,no
"Gibson County, Tennessee",47053,no
"Gilchrist County, Florida",12041,no
"Giles County, Virginia",51071,no
"Gilliam County, Oregon",41021,no
"Gilmer County, Georgia",13123,no
"Gilmer County, West Virginia",54021,no
"Gilpin County, Colorado",8047,no
"Glacier County, Montana",30035,no
"Glades County, Florida",12043,no
"Gladwin County, Michigan",26051,no
"Glasscock County, Texas",48173,no
"Glenn County, California",6021,no
"Gloucester County, New Jersey",34015,no
"Glynn County, Georgia",13127,no
"Gogebic County, Michigan",26053,no
"Golden Valley County, Montana",30037,no
"Golden Valley County, North Dakota",38033,no
"Goliad County, Texas",48175,no
"Gonzales County, Texas",48177,no
"Goochland County, Virginia",51075,no
"Goodhue County, Minnesota",27049,no
"Gooding County, Idaho",16047,no
"Gordon County, Georgia",13129,no
"Gosper County, Nebraska",31073,no
"Gove County, Kansas",20063,no
"Grady County, Georgia",13131,no
"Graham County, Arizona",4009,no
"Graham County, North Carolina",37075,no
"Grainger County, Tennessee",47057,no
"Grand Forks County, North Dakota",38035,no
"Grand Isle County, Vermont",50013,no
"Grand Traverse County, Michigan",26055,no
"Grant County, Arkansas",5053,no
"Grant County, Indiana",18053,no
"Grant County, Kansas",20067,no
"Grant County, Minnesota",27051,no
"Grant County, Nebraska",31075,no
"Grant County, North Dakota",38037,no
"Grant County, South Dakota",46051,no
"Grant County, West Virginia",54023,no
"Granville County, North Carolina",37077,no
"Gratiot County, Michigan",26057,no
"Graves County, Kentucky",21083,no
"Gray County, Texas",48179,no
"Grayson County, Kentucky",21085,no
"Grayson County, Virginia",51077,no
"Green County, Kentucky",21087,no
"Green Lake County, Wisconsin",55047,no
"Greene County, Alabama",1063,no
"Greene County, Arkansas",5055,no
"Greene County, Illinois",17061,no
"Greene County, Indiana",18055,no
"Greene County, Iowa",19073,no
"Greene County, Mississippi",28041,no
"Greene County, North Carolina",37079,no
"Greene County, Ohio",39057,no
"Greene County, Tennessee",47059,no
"Greensville County, Virginia",51081,no
"Greenup County, Kentucky",21089,no
"Greenville County, South Carolina",45045,no
"Greenwood County, Kansas",20073,no
"Greenwood County, South Carolina",45047,no
"Gregory County, South Dakota",46053,no
"Grenada County, Mississippi",28043,no
"Griggs County, North Dakota",38039,no
"Grundy County, Illinois",17063,no
"Grundy County, Iowa",19075,no
"Grundy County, Missouri",29079,no
"Guernsey County, Ohio",39059,no
"Guilford County, North Carolina",37081,no
"Gulf County, Florida",12045,no
"Guthrie County, Iowa",19077,no
"Gwinnett County, Georgia",13135,no
"Haakon County, South Dakota",46055,no
"Habersham County, Georgia",13137,no
"Haines Borough, Alaska",2100,no
"Hale County, Alabama",1065,no
"Halifax County with South Boston City, Virginia",51083,no
"Halifax County, North Carolina",37083,no
"Hall County, Georgia",13139,no
"Hall County, Nebraska",31079,no
"Hamblen County, Tennessee",47063,no
"Hamilton County, Florida",12047,no
"Hamilton County, Illinois",17065,no
"Hamilton County, Iowa",19079,no
"Hamilton County, Kansas",20075,no
"Hamilton County, Ohio",39061,no
"Hamilton County, Tennessee",47065,no
"Hampden County, Massachusetts",25013,no
"Hampshire County, Massachusetts",25015,no
"Hampshire County, West Virginia",54027,no
"Hampton County, South Carolina",45049,no
"Hancock County, Georgia",13141,no
"Hancock County, Illinois",17067,no
"Hancock County, Indiana",18059,no
"Hancock County, Iowa",19081,no
"Hancock County, Kentucky",21091,no
"Hancock County, Tennessee",47067,no
"Hand County, South Dakota",46059,no
"Hanover County, Virginia",51085,no
"Hansford County, Texas",48195,no
"Hanson County, South Dakota",46061,no
"Hardee County, Florida",12049,no
"Hardeman County, Tennessee",47069,no
"Hardin County, Illinois",17069,no
"Hardin County, Iowa",19083,no
"Hardin County, Kentucky",21093,no
"Hardin County, Tennessee",47071,no
"Harding County, New Mexico",35021,no
"Harding County, South Dakota",46063,no
"Harlan County, Nebraska",31083,no
"Harmon County, Oklahoma",40057,no
"Harnett County, North Carolina",37085,no
"Harney County, Oregon",41025,no
"Harper County, Oklahoma",40059,no
"Harris County, Georgia",13145,no
"Harrison County, Indiana",18061,no
"Harrison County, Iowa",19085,no
"Harrison County, Kentucky",21097,no
"Harrison County, Mississippi",28047,no
"Harrison County, Missouri",29081,no
"Harrison County, Ohio",39067,no
"Hart County, Kentucky",21099,no
"Hartley County, Texas",48205,no
"Harvey County, Kansas",20079,no
"Haskell County, Kansas",20081,no
"Hayes County, Nebraska",31085,no
"Hays County, Texas",48209,no
"Haywood County, North Carolina",37087,no
"Haywood County, Tennessee",47075,no
"Hemphill County, Texas",48211,no
"Henderson County, Illinois",17071,no
"Henderson County, Kentucky",21101,no
"Henderson County, Tennessee",47077,no
"Hendricks County, Indiana",18063,no
"Hendry County, Florida",12051,no
"Hennepin County, Minnesota",27053,no
"Henrico County, Virginia",51087,no
"Henry County, Alabama",1067,no
"Henry County, Georgia",13151,no
"Henry County, Illinois",17073,no
"Henry County, Indiana",18065,no
"Henry County, Iowa",19087,no
"Henry County, Kentucky",21103,no
"Henry County, Missouri",29083,no
"Henry County, Tennessee",47079,no
"Henry County, Virginia",51089,no
"Hernando County, Florida",12053,no
"Hertford County, North Carolina",37091,no
"Hettinger County, North Dakota",38041,no
"Hickman County, Kentucky",21105,no
"Hickman County, Tennessee",47081,no
"Highland County, Ohio",39071,no
"Highland County, Virginia",51091,no
"Hill County, Montana",30041,no
"Hill County, Texas",48217,no
"Hillsborough County, Florida",12057,no
"Hillsdale County, Michigan",26059,no
"Hinsdale County, Colorado",8053,no
"Hitchcock County, Nebraska",31087,no
"Hocking County, Ohio",39073,no
"Hodgeman County, Kansas",20083,no
"Hoke County, North Carolina",37093,no
"Holmes County, Florida",12059,no
"Holmes County, Mississippi",28051,no
"Holt County, Nebraska",31089,no
"Hooker County, Nebraska",31091,no
"Hopkins County, Texas",48223,no
"Hot Spring County, Arkansas",5059,no
"Hot Springs County, Wyoming",56017,no
"Houghton County, Michigan",26061,no
"Houston County, Alabama",1069,no
"Houston County, Minnesota",27055,no
"Houston County, Tennessee",47083,no
"Howard County, Indiana",18067,no
"Howard County, Iowa",19089,no
"Howard County, Maryland",24027,no
"Howard County, Nebraska",31093,no
"Hubbard County, Minnesota",27057,no
"Hudspeth County, Texas",48229,no
"Hughes County, South Dakota",46065,no
"Humboldt County, California",6023,no
"Humboldt County, Iowa",19091,no
"Humboldt County, Nevada",32013,no
"Humphreys County, Mississippi",28053,no
"Humphreys County, Tennessee",47085,no
"Huntington County, Indiana",18069,no
"Huron County, Michigan",26063,no
"Hutchinson County, South Dakota",46067,no
"Hyde County, North Carolina",37095,no
"Hyde County, South Dakota",46069,no
"Ida County, Iowa",19093,no
"Indian River County, Florida",12061,no
"Ingham County, Michigan",26065,no
"Ionia County, Michigan",26067,no
"Iosco County, Michigan",26069,no
"Iowa County, Wisconsin",55049,no
"Iredell County, North Carolina",37097,no
"Irion County, Texas",48235,no
"Iron County, Michigan",26071,no
"Irwin County, Georgia",13155,no
"Isabella County, Michigan",26073,no
"Isanti County, Minnesota",27059,no
"Itasca County, Minnesota",27061,no
"Itawamba County, Mississippi",28057,no
"Jack County, Texas",48237,no
"Jackson County, Alabama",1071,no
"Jackson County, Colorado",8057,no
"Jackson County, Illinois",17077,no
"Jackson County, Indiana",18071,no
"Jackson County, Iowa",19097,no
"Jackson County, Kansas",20085,no
"Jackson County, Minnesota",27063,no
"Jackson County, Mississippi",28059,no
"Jackson County, Missouri",29095,no
"Jackson County, Ohio",39079,no
"Jackson County, South Dakota",46071,no
"Jackson County, Texas",48239,no
"Jackson County, West Virginia",54035,no
"Jackson County, Wisconsin",55053,no
"James City County, Virginia",51095,no
"Jasper County, Georgia",13159,no
"Jasper County, Illinois",17079,no
"Jasper County, Iowa",19099,no
"Jasper County, South Carolina",45053,no
"Jay County, Indiana",18075,no
"Jeff Davis County, Georgia",13161,no
"Jeff Davis County, Texas",48243,no
"Jefferson County, Alabama",1073,no
"Jefferson County, Arkansas",5069,no
"Jefferson County, Florida",12065,no
"Jefferson County, Georgia",13163,no
"Jefferson County, Idaho",16051,no
"Jefferson County, Illinois",17081,no
"Jefferson County, Indiana",18077,no
"Jefferson County, Iowa",19101,no
"Jefferson County, Kentucky",21111,no
"Jefferson County, Mississippi",28063,no
"Jefferson County, Ohio",39081,no
"Jefferson County, Oregon",41031,no
"Jefferson County, Tennessee",47089,no
"Jefferson County, Washington",53031,no
"Jefferson Davis County, Mississippi",28065,no
"Jefferson Davis Parish, Louisiana",22053,no
"Jefferson Parish, Louisiana",22051,no
"Jenkins County, Georgia",13165,no
"Jennings County, Indiana",18079,no
"Jerauld County, South Dakota",46073,no
"Jerome County, Idaho",16053,no
"Jersey County, Illinois",17083,no
"Jo Daviess County, Illinois",17085,no
"Johnson County, Arkansas",5071,no
"Johnson County, Georgia",13167,no
"Johnson County, Illinois",17087,no
"Johnson County, Indiana",18081,no
"Johnson County, Kansas",20091,no
"Johnson County, Kentucky",21115,no
"Johnson County, Missouri",29101,no
"Johnson County, Nebraska",31097,no
"Johnson County, Tennessee",47091,no
"Johnston County, Oklahoma",40069,no
"Jones County, Georgia",13169,no
"Jones County, Iowa",19105,no
"Jones County, Mississippi",28067,no
"Jones County, South Dakota",46075,no
"Juab County, Utah",49023,no
"Judith Basin County, Montana",30045,no
"Juneau Borough, Alaska",2110,no
"Juneau County, Wisconsin",55057,no
"Kalamazoo County, Michigan",26077,no
"Kalkaska County, Michigan",26079,no
"Kanabec County, Minnesota",27065,no
"Kanawha County, West Virginia",54039,no
"Kane County, Illinois",17089,no
"Kaufman County, Texas",48257,no
"Kearney County, Nebraska",31099,no
"Keith County, Nebraska",31101,no
"Kemper County, Mississippi",28069,no
"Kendall County, Illinois",17093,no
"Kenedy County, Texas",48261,no
"Kennebec County, Maine",23011,no
"Kent County, Maryland",24029,no
"Kent County, Rhode Island",44003,no
"Kent County, Texas",48263,no
"Kenton County, Kentucky",21117,no
"Keokuk County, Iowa",19107,no
"Kershaw County, South Carolina",45055,no
"Keweenaw County, Michigan",26083,no
"Keya Paha County, Nebraska",31103,no
"Kidder County, North Dakota",38043,no
"Kimball County, Nebraska",31105,no
"Kimble County, Texas",48267,no
"King County, Texas",48269,no
"King William County, Virginia",51101,no
"King and Queen County, Virginia",51097,no
"Kingman County, Kansas",20095,no
"Kings County, New York",36047,no
"Kingsbury County, South Dakota",46077,no
"Kinney County, Texas",48271,no
"Kiowa County, Kansas",20097,no
"Kit Carson County, Colorado",8063,no
"Kitsap County, Washington",53035,no
"Kittitas County, Washington",53037,no
"Kittson County, Minnesota",27069,no
"Klamath County, Oregon",41035,no
"Klickitat County, Washington",53039,no
"Knott County, Kentucky",21119,no
"Knox County, Illinois",17095,no
"Knox County, Indiana",18083,no
"Knox County, Kentucky",21121,no
"Knox County, Missouri",29103,no
"Knox County, Nebraska",31107,no
"Knox County, Ohio",39083,no
"Knox County, Tennessee",47093,no
"Koochiching County, Minnesota",27071,no
"Kossuth County, Iowa",19109,no
"La Crosse County, Wisconsin",55063,no
"La Salle County, Texas",48283,no
"LaFourche Parish, Louisiana",22057,no
"LaGrange County, Indiana",18087,no
"LaMoure County, North Dakota",38045,no
"Lac qui Parle County, Minnesota",27073,no
"Laclede County, Missouri",29105,no
"Lafayette County, Florida",12067,no
"Lafayette County, Mississippi",28071,no
"Lafayette County, Missouri",29107,no
"Lake County, Colorado",8065,no
"Lake County, Michigan",26085,no
"Lake County, Minnesota",27075,no
"Lake County, Ohio",39085,no
"Lake County, Oregon",41037,no
"Lake County, South Dakota",46079,no
"Lake County, Tennessee",47095,no
"Lake of the Woods County, Minnesota",27077,no
"Lamar County, Alabama",1075,no
"Lamar County, Mississippi",28073,no
"Lamar County, Texas",48277,no
"Lancaster County, Nebraska",31109,no
"Lancaster County, South Carolina",45057,no
"Lancaster County, Virginia",51103,no
"Lander County, Nevada",32015,no
"Lane County, Kansas",20101,no
"Langlade County, Wisconsin",55067,no
"Lanier County, Georgia",13173,no
"Larue County, Kentucky",21123,no
"Las Animas County, Colorado",8071,no
"Lassen County, California",6035,no
"Lauderdale County, Alabama",1077,no
"Lauderdale County, Mississippi",28075,no
"Lauderdale County, Tennessee",47097,no
"Laurel County, Kentucky",21125,no
"Laurens County, Georgia",13175,no
"Laurens County, South Carolina",45059,no
"Lavaca County, Texas",48285,no
"Lawrence County, Alabama",1079,no
"Lawrence County, Arkansas",5075,no
"Lawrence County, Illinois",17101,no
"Lawrence County, Kentucky",21127,no
"Lawrence County, Mississippi",28077,no
"Lawrence County, Missouri",29109,no
"Lawrence County, Ohio",39087,no
"Lawrence County, Pennsylvania",42073,no
"Lawrence County, South Dakota",46081,no
"Lawrence County, Tennessee",47099,no
"Le Sueur County, Minnesota",27079,no
"Lea County, New Mexico",35025,no
"Leake County, Mississippi",28079,no
"Leavenworth County, Kansas",20103,no
"Lebanon County, Pennsylvania",42075,no
"Lee County, Alabama",1081,no
"Lee County, Georgia",13177,no
"Lee County, Iowa",19111,no
"Lee County, Kentucky",21129,no
"Lee County, Mississippi",28081,no
"Lee County, North Carolina",37105,no
"Lee County, South Carolina",45061,no
"Lee County, Virginia",51105,no
"Leelanau County, Michigan",26089,no
"Leflore County, Mississippi",28083,no
"Lehigh County, Pennsylvania",42077,no
"Lemhi County, Idaho",16059,no
"Lenoir County, North Carolina",37107,no
"Leon County, Florida",12073,no
"Leon County, Texas",48289,no
"Leslie County, Kentucky",21131,no
"Levy County, Florida",12075,no
"Lewis County, Kentucky",21135,no
"Lewis County, Missouri",29111,no
"Lewis County, Tennessee",47101,no
"Lewis County, Washington",53041,no
"Lewis County, West Virginia",54041,no
"Liberty County, Florida",12077,no
"Liberty County, Georgia",13179,no
"Liberty County, Texas",48291,no
"Licking County, Ohio",39089,no
"Limestone County, Alabama",1083,no
"Lincoln County, Arkansas",5079,no
"Lincoln County, Colorado",8073,no
"Lincoln County, Idaho",16063,no
"Lincoln County, Kentucky",21137,no
"Lincoln County, Maine",23015,no
"Lincoln County, Minnesota",27081,no
"Lincoln County, Mississippi",28085,no
"Lincoln County, Nebraska",31111,no
"Lincoln County, Nevada",32017,no
"Lincoln County, New Mexico",35027,no
"Lincoln County, North Carolina",37109,no
"Lincoln County, Tennessee",47103,no
"Lincoln County, Washington",53043,no
"Lincoln County, Wisconsin",55069,no
"Linn County, Iowa",19113,no
"Linn County, Kansas",20107,no
"Linn County, Missouri",29115,no
"Linn County, Oregon",41043,no
"Lipscomb County, Texas",48295,no
"Live Oak County, Texas",48297,no
"Livingston County, Missouri",29117,no
"Logan County, Arkansas",5083,no
"Logan County, Colorado",8075,no
"Logan County, Illinois",17107,no
"Logan County, Nebraska",31113,no
"Logan County, North Dakota",38047,no
"Logan County, Ohio",39091,no
"Logan County, Oklahoma",40083,no
"Long County, Georgia",13183,no
"Lonoke County, Arkansas",5085,no
"Lorain County, Ohio",39093,no
"Los Alamos County, New Mexico",35028,no
"Loudon County, Tennessee",47105,no
"Loudoun County, Virginia",51107,no
"Louisa County, Iowa",19115,no
"Love County, Oklahoma",40085,no
"Loving County, Texas",48301,no
"Lowndes County, Alabama",1085,no
"Lowndes County, Mississippi",28087,no
"Lucas County, Iowa",19117,no
"Luce County, Michigan",26095,no
"Lumpkin County, Georgia",13187,no
"Lunenburg County, Virginia",51111,no
"Lyman County, South Dakota",46085,no
"Lyon County, Iowa",19119,no
"Lyon County, Kansas",20111,no
"Lyon County, Kentucky",21143,no
"Lyon County, Minnesota",27083,no
"Mackinac County, Michigan",26097,no
"Macomb County, Michigan",26099,no
"Macon County, Alabama",1087,no
"Macon County, Illinois",17115,no
"Macon County, Missouri",29121,no
"Macon County, Tennessee",47111,no
"Macoupin County, Illinois",17117,no
"Madison County, Alabama",1089,no
"Madison County, Arkansas",5087,no
"Madison County, Florida",12079,no
"Madison County, Iowa",19121,no
"Madison County, Kentucky",21151,no
"Madison County, Mississippi",28089,no
"Madison County, Missouri",29123,no
"Madison County, Nebraska",31119,no
"Madison County, New York",36053,no
"Madison County, North Carolina",37115,no
"Madison County, Ohio",39097,no
"Madison County, Tennessee",47113,no
"Madison County, Texas",48313,no
"Madison Parish, Louisiana",22065,no
"Magoffin County, Kentucky",21153,no
"Mahaska County, Iowa",19123,no
"Mahnomen County, Minnesota",27087,no
"Mahoning County, Ohio",39099,no
"Manatee County, Florida",12081,no
"Manistee County, Michigan",26101,no
"Maries County, Missouri",29125,no
"Marin County, California",6041,no
"Marion County, Florida",12083,no
"Marion County, Georgia",13197,no
"Marion County, Illinois",17121,no
"Marion County, Indiana",18097,no
"Marion County, Iowa",19125,no
"Marion County, Kentucky",21155,no
"Marion County, Mississippi",28091,no
"Marion County, Ohio",39101,no
"Marion County, South Carolina",45067,no
"Marion County, Tennessee",47115,no
"Marion County, West Virginia",54049,no
"Mariposa County, California",6043,no
"Marlboro County, South Carolina",45069,no
"Marquette County, Wisconsin",55077,no
"Marshall County, Alabama",1095,no
"Marshall County, Illinois",17123,no
"Marshall County, Indiana",18099,no
"Marshall County, Iowa",19127,no
"Marshall County, Kansas",20117,no
"Marshall County, Kentucky",21157,no
"Marshall County, Minnesota",27089,no
"Marshall County, Mississippi",28093,no
"Marshall County, South Dakota",46091,no
"Marshall County, Tennessee",47117,no
"Martin County, Florida",12085,no
"Martin County, Indiana",18101,no
"Martin County, Minnesota",27091,no
"Martin County, North Carolina",37117,no
"Mason County, Illinois",17125,no
"Mason County, Kentucky",21161,no
"Mason County, Michigan",26105,no
"Mason County, Texas",48319,no
"Mason County, Washington",53045,no
"Mason County, West Virginia",54053,no
"Massac County, Illinois",17127,no
"Mathews County, Virginia",51115,no
"Maury County, Tennessee",47119,no
"Maverick County, Texas",48323,no
"Mayes County, Oklahoma",40097,no
"McCone County, Montana",30055,no
"McCook County, South Dakota",46087,no
"McCracken County, Kentucky",21145,no
"McCreary County, Kentucky",21147,no
"McDonald County, Missouri",29119,no
"McDowell County, North Carolina",37111,no
"McHenry County, North Dakota",38049,no
"McIntosh County, Georgia",13191,no
"McIntosh County, North Dakota",38051,no
"McKenzie County, North Dakota",38053,no
"McKinley County, New Mexico",35031,no
"McLean County, North Dakota",38055,no
"McLeod County, Minnesota",27085,no
"McMinn County, Tennessee",47107,no
"McMullen County, Texas",48311,no
"McNairy County, Tennessee",47109,no
